symbol,timestamp,open,high,low,close,volume,trade_count,vwap,dollar_volume,prediction
PCG,2025-08-20 14:11:00-04:00,15.445,15.45,15.44,15.44,39676.0,76.0,15.444619,612597.44,2
PCG,2025-08-20 14:12:00-04:00,15.45,15.45,15.44,15.45,3661.0,32.0,15.442167,56562.45,2
PCG,2025-08-20 14:13:00-04:00,15.445,15.445,15.4201,15.43,40512.0,272.0,15.432831,625100.16,0
PCG,2025-08-20 14:14:00-04:00,15.43,15.43,15.425,15.425,5777.0,40.0,15.429032,89110.225,0
PCG,2025-08-20 14:15:00-04:00,15.42,15.42,15.41,15.415,8528.0,87.0,15.417216,131459.12,0
PCG,2025-08-20 14:16:00-04:00,15.415,15.44,15.415,15.4399,29934.0,118.0,15.422336,462177.9666,0
PCG,2025-08-20 14:17:00-04:00,15.44,15.44,15.435,15.435,5886.0,41.0,15.435164,90850.41,0
PCG,2025-08-20 14:18:00-04:00,15.435,15.455,15.435,15.455,21946.0,101.0,15.445088,339175.43,0
PCG,2025-08-20 14:19:00-04:00,15.455,15.455,15.445,15.445,18226.0,104.0,15.449821,281500.57,0
PCG,2025-08-20 14:20:00-04:00,15.44,15.44,15.425,15.425,20403.0,131.0,15.434754,314716.275,0
PCG,2025-08-20 14:21:00-04:00,15.425,15.425,15.42,15.425,3429.0,28.0,15.423699,52892.325,0
PCG,2025-08-20 14:22:00-04:00,15.425,15.425,15.42,15.425,4048.0,32.0,15.424277,62440.4,0
PCG,2025-08-20 14:23:00-04:00,15.425,15.435,15.425,15.435,73114.0,269.0,15.430349,1128514.59,0
PCG,2025-08-20 14:24:00-04:00,15.435,15.4399,15.435,15.435,4525.0,29.0,15.43727,69843.375,0
PCG,2025-08-20 14:25:00-04:00,15.435,15.44,15.435,15.44,8058.0,48.0,15.435074,124415.52,0
PCG,2025-08-20 14:26:00-04:00,15.435,15.445,15.43,15.445,29467.0,157.0,15.439493,455117.815,0
PCG,2025-08-20 14:27:00-04:00,15.445,15.445,15.4301,15.435,11781.0,87.0,15.439878,181839.735,0
PCG,2025-08-20 14:28:00-04:00,15.435,15.44,15.435,15.44,8521.0,68.0,15.435994,131564.24,0
PCG,2025-08-20 14:29:00-04:00,15.44,15.45,15.435,15.445,14481.0,102.0,15.443718,223659.045,2
PCG,2025-08-20 14:30:00-04:00,15.445,15.45,15.4401,15.445,6201.0,47.0,15.444471,95774.445,2
PCG,2025-08-20 14:31:00-04:00,15.445,15.45,15.445,15.45,10477.0,58.0,15.445468,161869.65,2
PCG,2025-08-20 14:32:00-04:00,15.445,15.45,15.445,15.445,23476.0,85.0,15.447306,362586.82,2
PCG,2025-08-20 14:33:00-04:00,15.45,15.455,15.445,15.455,81204.0,334.0,15.449901,1255007.82,2
PCG,2025-08-20 14:34:00-04:00,15.46,15.46,15.455,15.455,57512.0,87.0,15.455247,888847.96,2
